"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X","Actual-Y"
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:10",5,1910,10,1908,9,1824,113
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:13",35,1910,1070,1909,1069,1910,1043
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:16",34,1530,1070,1529,1069,1486,1058
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:18",4,1530,10,1531,10,1499,91
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:21",17,1910,434,1912,433,1903,484
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:23",28,1530,858,1531,858,1593,821
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:25",30,10,1070,10,1067,69,1024
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:27",18,10,646,9,646,62,691
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:30",34,1530,1070,1531,1070,1526,1055
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:31",20,770,646,769,646,752,599
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:33",17,1910,434,1909,434,1870,484
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:36",29,1910,858,1911,858,1858,901
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:39",25,390,858,388,859,306,792
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:41",15,1150,434,1148,433,1165,371
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:43",25,390,858,390,859,452,896
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:46",23,1910,646,1909,645,1873,690
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:49",7,390,222,391,220,396,269
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:51",26,770,858,769,857,731,795
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:53",3,1150,10,1150,7,1145,24
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:56",0,10,10,9,10,62,97
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 22:59:58",27,1150,858,1148,857,1161,830
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:01",24,10,858,9,858,50,878
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:03",14,770,434,770,434,783,426
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:04",9,1150,222,1151,222,1163,289
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:07",4,1530,10,1531,10,1501,78
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:09",33,1150,1070,1149,1069,1185,1015
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:11",32,770,1070,769,1069,763,1044
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:13",26,770,858,769,858,756,837
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:16",23,1910,646,1909,645,1869,716
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:19",11,1910,222,1909,222,1872,314
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:22",18,10,646,10,646,56,703
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:26",11,1910,222,1908,221,1878,322
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:31",33,1150,1070,1151,1069,1142,1052
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:34",35,1910,1070,1910,1069,1913,1036
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:37",19,390,646,388,646,295,622
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:40",7,390,222,390,221,392,294
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:43",30,10,1070,8,1069,17,1020
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:45",15,1150,434,1148,432,1139,478
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:49",2,770,10,769,10,744,2
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:52",21,1150,646,1150,648,1175,631
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:56",20,770,646,768,646,739,658
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:00:58",21,1150,646,1148,644,1163,611
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:02",29,1910,858,1910,859,1869,861
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:04",28,1530,858,1530,857,1543,819
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:07",32,770,1070,769,1070,883,1053
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:10",10,1530,222,1529,222,1571,182
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:11",22,1530,646,1529,646,1506,685
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:13",14,770,434,768,433,741,389
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:16",6,10,222,8,222,59,331
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:18",0,10,10,8,9,50,100
"bottom_svd","Tim","Gazepoint GP3","2021-07-04 23:01:21",10,1530,222,1531,223,1509,291
